source_order	legacy_id_reference	canonical_unit_id	mapping_status
264	MEN-A1-0264	MEN-A1-00264	ORDER_PRESERVING_REFERENCE
265	MEN-A1-0265	MEN-A1-00265	ORDER_PRESERVING_REFERENCE
266	MEN-A1-0266	MEN-A1-00266	ORDER_PRESERVING_REFERENCE
267	MEN-A1-0267	MEN-A1-00267	ORDER_PRESERVING_REFERENCE
268	MEN-A1-0268	MEN-A1-00268	ORDER_PRESERVING_REFERENCE
269	MEN-A1-0269	MEN-A1-00269	ORDER_PRESERVING_REFERENCE
270	MEN-A1-0270	MEN-A1-00270	ORDER_PRESERVING_REFERENCE
271	MEN-A1-0271	MEN-A1-00271	ORDER_PRESERVING_REFERENCE
272	MEN-A1-0272	MEN-A1-00272	ORDER_PRESERVING_REFERENCE
273	MEN-A1-0273	MEN-A1-00273	ORDER_PRESERVING_REFERENCE
274	MEN-A1-0274	MEN-A1-00274	ORDER_PRESERVING_REFERENCE
275	MEN-A1-0275	MEN-A1-00275	ORDER_PRESERVING_REFERENCE
276	MEN-A1-0276	MEN-A1-00276	ORDER_PRESERVING_REFERENCE
